Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-119.64439199484076,38.75190123427486,83.0,122,35,7495.0,276.0,-70.0,346.0,-11.0,175.0,194.0,-12.0,410.0,65.0,13.0,50.0,180.0,39.0,40.0,180.0
-122.61253646335793,39.954192827984606,150.0,120,38,6614.0,335.0,19.0,315.0,64.0,246.0,246.0,64.0,661.0,142.0,2.0,88.0,399.0,10.0,10.0,399.0
-121.80388870142392,41.97994092276758,94.0,119,35,7216.0,293.0,-39.0,333.0,13.0,205.0,205.0,3.0,310.0,47.0,6.0,46.0,135.0,27.0,27.0,129.0
-114.97677577215846,34.94641429208163,207.0,127,35,8184.0,398.0,37.0,360.0,120.0,278.0,321.0,97.0,146.0,20.0,1.0,49.0,57.0,6.0,53.0,50.0
-114.80624106961248,34.86307801261889,219.0,127,35,8211.0,409.0,49.0,360.0,124.0,290.0,333.0,109.0,129.0,20.0,1.0,53.0,57.0,4.0,38.0,54.0
-115.52411240424948,34.563598608062364,235.0,130,36,8044.0,427.0,67.0,360.0,341.0,302.0,348.0,127.0,149.0,22.0,1.0,49.0,60.0,8.0,60.0,47.0
-115.44436504046024,35.3081477191525,181.0,127,35,8257.0,375.0,11.0,363.0,296.0,252.0,296.0,70.0,202.0,27.0,3.0,45.0,80.0,12.0,80.0,68.0
-121.00673187103348,35.96188379069032,135.0,116,46,4361.0,272.0,22.0,249.0,78.0,190.0,195.0,75.0,486.0,104.0,0.0,94.0,297.0,2.0,3.0,296.0
-122.33095504506404,37.15846769078916,131.0,57,46,2167.0,197.0,73.0,123.0,101.0,159.0,160.0,101.0,860.0,174.0,3.0,86.0,491.0,12.0,16.0,491.0
-122.20983547521352,41.83092726944442,44.0,120,37,6741.0,235.0,-85.0,321.0,-29.0,146.0,146.0,-40.0,659.0,112.0,11.0,61.0,321.0,42.0,42.0,316.0
-122.49518925298122,37.84002393230212,146.0,79,45,3220.0,241.0,65.0,175.0,99.0,188.0,188.0,99.0,667.0,151.0,1.0,94.0,425.0,5.0,5.0,425.0
