Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
-120.913494977,37.6550782749,176.0,124,42,5456.0,338.0,50.0,288.0,102.0,246.0,252.0,102.0,342.0,65.0,1.0,83.0,184.0,4.0,5.0,184.0,1
-120.766726583,37.6529950816,178.0,124,42,5622.0,343.0,50.0,293.0,102.0,251.0,257.0,102.0,371.0,72.0,1.0,83.0,203.0,5.0,5.0,203.0,1
-121.04587823,37.5876504297,172.0,122,43,5186.0,329.0,50.0,279.0,108.0,239.0,244.0,101.0,319.0,59.0,1.0,82.0,166.0,4.0,5.0,165.0,1
-120.862082895,37.57160519,176.0,124,43,5457.0,338.0,50.0,288.0,102.0,247.0,252.0,102.0,336.0,64.0,1.0,83.0,180.0,4.0,5.0,180.0,1
-120.61503427,37.6080014433,180.0,125,41,5805.0,349.0,50.0,298.0,102.0,261.0,262.0,102.0,417.0,82.0,1.0,85.0,235.0,3.0,3.0,235.0,1
-120.720531112,37.5468046471,178.0,125,42,5623.0,343.0,50.0,293.0,102.0,251.0,257.0,102.0,359.0,68.0,1.0,83.0,192.0,4.0,5.0,192.0,1
-121.067090568,37.4631198195,172.0,122,44,5099.0,326.0,50.0,276.0,113.0,237.0,242.0,101.0,303.0,57.0,1.0,83.0,162.0,4.0,5.0,160.0,1
-120.896348132,37.4491452264,175.0,124,43,5327.0,335.0,50.0,285.0,114.0,244.0,249.0,102.0,309.0,59.0,1.0,82.0,164.0,4.0,5.0,163.0,1
-120.737925079,37.445952976,178.0,125,42,5559.0,342.0,50.0,292.0,103.0,256.0,256.0,103.0,325.0,63.0,1.0,84.0,177.0,3.0,3.0,177.0,1
-120.481885449,37.4690758252,182.0,125,41,5885.0,352.0,51.0,300.0,104.0,266.0,266.0,104.0,394.0,73.0,1.0,83.0,212.0,3.0,3.0,212.0,1
-121.03382263,37.3450934444,171.0,123,44,5091.0,326.0,49.0,277.0,113.0,241.0,241.0,101.0,298.0,59.0,1.0,85.0,165.0,3.0,3.0,163.0,1
-120.849810556,37.3452739799,175.0,125,43,5349.0,336.0,49.0,286.0,114.0,249.0,249.0,102.0,299.0,58.0,1.0,84.0,163.0,3.0,3.0,161.0,1
-120.679232845,37.3628784355,179.0,126,42,5578.0,344.0,50.0,294.0,115.0,257.0,257.0,103.0,309.0,60.0,1.0,85.0,170.0,3.0,3.0,168.0,1
-121.029460079,37.2511886833,171.0,123,44,5051.0,325.0,48.0,276.0,113.0,236.0,240.0,100.0,291.0,58.0,1.0,86.0,163.0,3.0,3.0,161.0,1
-120.410591011,37.3633378499,183.0,126,41,5927.0,354.0,51.0,303.0,105.0,267.0,268.0,105.0,382.0,74.0,0.0,86.0,213.0,2.0,2.0,213.0,1
-120.802372246,37.247693156,176.0,126,43,5362.0,337.0,49.0,288.0,115.0,249.0,250.0,103.0,275.0,53.0,1.0,84.0,152.0,3.0,3.0,148.0,1
-120.629215754,37.275782384,180.0,127,42,5603.0,346.0,50.0,295.0,116.0,252.0,258.0,104.0,290.0,55.0,0.0,85.0,159.0,2.0,2.0,157.0,1
-120.258112827,37.3481035116,184.0,125,41,6065.0,358.0,51.0,306.0,106.0,272.0,272.0,105.0,411.0,76.0,1.0,84.0,222.0,3.0,3.0,222.0,1
-120.94792373,37.1680443777,173.0,125,44,5154.0,330.0,49.0,281.0,114.0,239.0,244.0,102.0,275.0,54.0,1.0,85.0,153.0,3.0,3.0,149.0,1
-121.568267464,37.0300851226,154.0,103,47,3799.0,274.0,54.0,219.0,100.0,203.0,205.0,100.0,392.0,84.0,1.0,91.0,237.0,3.0,3.0,237.0,1
-119.765261236,37.4034669752,150.0,123,39,6511.0,328.0,13.0,314.0,69.0,246.0,246.0,67.0,804.0,161.0,1.0,83.0,441.0,6.0,6.0,440.0,1
-120.720561782,37.1711562142,178.0,127,43,5467.0,341.0,49.0,292.0,116.0,248.0,254.0,103.0,266.0,51.0,0.0,84.0,147.0,1.0,2.0,143.0,1
-120.284600379,37.2400346764,185.0,126,41,6018.0,358.0,52.0,306.0,106.0,272.0,272.0,106.0,360.0,66.0,1.0,84.0,194.0,3.0,3.0,194.0,1
-120.54180142,37.1820461259,182.0,128,42,5730.0,350.0,51.0,299.0,117.0,257.0,263.0,105.0,286.0,53.0,0.0,84.0,155.0,1.0,2.0,153.0,1
-120.839387467,37.093053947,174.0,126,44,5258.0,334.0,48.0,286.0,114.0,242.0,247.0,102.0,257.0,50.0,1.0,84.0,143.0,3.0,3.0,138.0,1
-121.110535156,37.014631658,156.0,122,45,4778.0,305.0,36.0,268.0,100.0,216.0,221.0,89.0,295.0,58.0,1.0,86.0,165.0,3.0,3.0,161.0,1
-121.566119588,36.8950165127,152.0,102,47,3713.0,270.0,54.0,215.0,99.0,201.0,202.0,99.0,372.0,80.0,1.0,92.0,226.0,3.0,3.0,226.0,1
-120.652151393,37.0815542121,179.0,128,43,5543.0,345.0,49.0,295.0,116.0,251.0,257.0,104.0,248.0,47.0,0.0,84.0,136.0,1.0,2.0,133.0,1
-120.452404028,37.1006031751,183.0,128,42,5802.0,353.0,51.0,302.0,117.0,259.0,265.0,105.0,280.0,51.0,0.0,84.0,150.0,1.0,2.0,149.0,1
-120.767640179,37.01362282,176.0,127,43,5360.0,338.0,48.0,290.0,115.0,245.0,250.0,103.0,237.0,46.0,0.0,85.0,133.0,1.0,2.0,128.0,1
-120.252454639,37.0925038151,185.0,128,41,5978.0,358.0,51.0,306.0,111.0,263.0,271.0,106.0,311.0,56.0,0.0,84.0,166.0,2.0,2.0,166.0,1
-120.110698969,37.0896631213,187.0,127,41,6150.0,362.0,52.0,310.0,112.0,275.0,275.0,106.0,356.0,65.0,1.0,83.0,191.0,3.0,3.0,191.0,1
-120.565180662,36.9780830912,180.0,129,43,5628.0,348.0,49.0,299.0,117.0,253.0,259.0,104.0,241.0,45.0,0.0,84.0,130.0,1.0,2.0,129.0,1
-120.3551775,36.9950052855,184.0,129,42,5862.0,356.0,51.0,305.0,107.0,261.0,267.0,106.0,260.0,47.0,0.0,84.0,139.0,1.0,1.0,139.0,1
-120.707180832,36.9212858787,177.0,129,43,5456.0,342.0,48.0,294.0,115.0,248.0,253.0,103.0,228.0,44.0,0.0,84.0,125.0,1.0,2.0,123.0,1
-121.712602831,36.7041458327,152.0,87,47,3128.0,251.0,68.0,183.0,107.0,189.0,194.0,107.0,372.0,79.0,1.0,89.0,221.0,4.0,5.0,221.0,1
-119.98250737,37.0164466961,188.0,127,40,6253.0,364.0,52.0,313.0,115.0,279.0,279.0,107.0,353.0,66.0,1.0,83.0,190.0,3.0,3.0,190.0,1
-120.159291332,36.9704827277,187.0,128,41,6075.0,361.0,52.0,309.0,109.0,267.0,274.0,107.0,291.0,53.0,0.0,83.0,156.0,2.0,2.0,156.0,1
-120.460365625,36.8982329358,181.0,130,43,5707.0,351.0,49.0,302.0,105.0,256.0,262.0,105.0,234.0,44.0,0.0,83.0,127.0,1.0,2.0,127.0,1
-120.334365466,36.8943984274,184.0,130,42,5844.0,355.0,50.0,305.0,106.0,267.0,267.0,106.0,242.0,44.0,0.0,84.0,130.0,0.0,0.0,130.0,1
-121.528918145,36.6361924564,152.0,102,47,3711.0,270.0,53.0,216.0,106.0,196.0,201.0,99.0,409.0,85.0,1.0,89.0,235.0,4.0,5.0,234.0,1
-120.192853528,36.8540525092,186.0,130,42,6005.0,360.0,51.0,309.0,107.0,272.0,272.0,107.0,249.0,45.0,0.0,84.0,133.0,0.0,0.0,133.0,1
-119.972963662,36.895064831,188.0,129,41,6217.0,365.0,52.0,313.0,115.0,278.0,278.0,108.0,296.0,55.0,0.0,84.0,159.0,0.0,0.0,159.0,1
-120.333602448,36.7990656182,183.0,131,42,5826.0,355.0,49.0,306.0,106.0,266.0,266.0,106.0,226.0,42.0,0.0,85.0,123.0,0.0,0.0,123.0,1
-119.820954689,36.9023350764,190.0,128,40,6381.0,368.0,52.0,316.0,110.0,283.0,283.0,107.0,347.0,66.0,0.0,84.0,190.0,1.0,1.0,190.0,1
