Longitude,Latitude,geometry,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-123.15286039921546,38.659495373082315,POINT (-123.15286039921546 38.659495373082315),126.0,78,42,3635.0,229.0,44.0,185.0,76.0,171.0,176.0,76.0,1343.0,276.0,2.0,85.0,784.0,14.0,17.0,784.0
-119.99055263284654,37.7772175111086,POINT (-119.99055263284654 37.7772175111086),120.0,122,39,6393.0,296.0,-14.0,310.0,39.0,214.0,214.0,39.0,1025.0,188.0,3.0,80.0,535.0,11.0,11.0,535.0
-123.2078586520668,39.45329719918409,POINT (-123.2078586520668 39.45329719918409),122.0,100,40,4974.0,265.0,18.0,247.0,56.0,187.0,193.0,56.0,1210.0,246.0,1.0,87.0,712.0,13.0,14.0,712.0
-120.1141060594559,40.8222559771975,POINT (-120.1141060594559 40.8222559771975),84.0,118,33,8003.0,290.0,-65.0,356.0,-18.0,204.0,204.0,-18.0,238.0,29.0,6.0,37.0,86.0,21.0,21.0,86.0
-124.24739124133131,40.250380327992666,POINT (-124.24739124133131 40.250380327992666),127.0,56,40,2941.0,207.0,67.0,139.0,91.0,162.0,170.0,91.0,1682.0,305.0,3.0,81.0,912.0,20.0,36.0,912.0
-120.25837999317906,40.99052454564208,POINT (-120.25837999317906 40.99052454564208),81.0,118,33,7902.0,286.0,-66.0,353.0,-20.0,200.0,200.0,-20.0,261.0,36.0,5.0,44.0,109.0,21.0,21.0,109.0
-115.92693152951068,35.959018079364775,POINT (-115.92693152951068 35.959018079364775),199.0,124,32,8749.0,399.0,22.0,376.0,98.0,276.0,321.0,81.0,190.0,33.0,2.0,58.0,97.0,10.0,43.0,89.0
-115.63711846011894,34.7020819563797,POINT (-115.63711846011894 34.7020819563797),196.0,130,36,7885.0,387.0,31.0,356.0,300.0,262.0,307.0,90.0,191.0,29.0,2.0,50.0,79.0,9.0,79.0,58.0
-122.16833659879627,40.909742643839614,POINT (-122.16833659879627 40.909742643839614),124.0,122,35,7365.0,323.0,-15.0,339.0,30.0,233.0,234.0,30.0,1700.0,323.0,6.0,77.0,922.0,42.0,42.0,922.0
-120.4637797255033,39.17381504423037,POINT (-120.4637797255033 39.17381504423037),84.0,123,37,6866.0,271.0,-55.0,327.0,-3.0,185.0,185.0,-3.0,1274.0,256.0,6.0,81.0,740.0,25.0,25.0,740.0
-121.17719896800612,41.75200291047343,POINT (-121.17719896800612 41.75200291047343),93.0,117,34,7500.0,296.0,-43.0,339.0,9.0,208.0,208.0,0.0,375.0,49.0,7.0,42.0,143.0,31.0,31.0,134.0
-116.91843817174491,34.58549128277596,POINT (-116.91843817174491 34.58549128277596),166.0,132,38,7161.0,351.0,11.0,339.0,82.0,222.0,268.0,71.0,221.0,36.0,1.0,61.0,103.0,9.0,33.0,102.0
-120.9996700441154,41.57678823181683,POINT (-120.9996700441154 41.57678823181683),85.0,118,34,7568.0,288.0,-53.0,342.0,0.0,201.0,201.0,-10.0,446.0,59.0,8.0,43.0,170.0,32.0,32.0,166.0
-117.63985725027426,34.21018946561,POINT (-117.63985725027426 34.21018946561),104.0,126,42,5825.0,265.0,-29.0,294.0,36.0,179.0,189.0,29.0,660.0,138.0,2.0,89.0,406.0,8.0,12.0,343.0
-121.04305991711111,40.071349649632204,POINT (-121.04305991711111 40.071349649632204),93.0,123,36,7205.0,288.0,-48.0,336.0,0.0,199.0,199.0,0.0,1379.0,278.0,5.0,81.0,789.0,23.0,23.0,789.0
-121.75424638911599,40.25502726119346,POINT (-121.75424638911599 40.25502726119346),120.0,122,36,7222.0,315.0,-19.0,334.0,27.0,226.0,226.0,27.0,1038.0,177.0,4.0,70.0,517.0,27.0,27.0,517.0
-116.08997271533885,34.859910383133894,POINT (-116.08997271533885 34.859910383133894),208.0,131,36,8031.0,403.0,40.0,362.0,322.0,276.0,322.0,101.0,142.0,18.0,2.0,42.0,52.0,7.0,52.0,44.0
-120.07394738834688,41.852066577595366,POINT (-120.07394738834688 41.852066577595366),91.0,113,32,8017.0,299.0,-52.0,351.0,-10.0,214.0,214.0,-10.0,463.0,65.0,10.0,45.0,190.0,37.0,37.0,190.0
-115.66240367796198,35.16298662761172,POINT (-115.66240367796198 35.16298662761172),182.0,128,35,8143.0,376.0,14.0,361.0,296.0,252.0,296.0,73.0,218.0,41.0,3.0,56.0,115.0,13.0,115.0,56.0
-122.89538955591685,38.09036852604397,POINT (-122.89538955591685 38.09036852604397),140.0,70,44,3052.0,226.0,65.0,160.0,96.0,177.0,180.0,96.0,1053.0,221.0,1.0,88.0,623.0,10.0,10.0,623.0
-116.72267069636912,34.96175947181934,POINT (-116.72267069636912 34.96175947181934),205.0,130,36,7907.0,399.0,40.0,358.0,109.0,270.0,317.0,99.0,102.0,16.0,1.0,56.0,46.0,4.0,24.0,46.0
-122.09011724337746,41.83725841513567,POINT (-122.09011724337746 41.83725841513567),89.0,120,36,7086.0,286.0,-44.0,330.0,10.0,197.0,197.0,0.0,365.0,61.0,6.0,57.0,173.0,25.0,25.0,170.0
-122.81394564267065,37.989284859923416,POINT (-122.81394564267065 37.989284859923416),143.0,69,44,2928.0,226.0,71.0,155.0,101.0,179.0,181.0,101.0,954.0,201.0,1.0,89.0,565.0,9.0,9.0,565.0
-122.9335728135667,39.73468567584507,POINT (-122.9335728135667 39.73468567584507),109.0,114,40,5794.0,277.0,-8.0,285.0,34.0,193.0,193.0,34.0,800.0,159.0,2.0,82.0,454.0,12.0,12.0,454.0
-121.91839433679306,36.57534682993027,POINT (-121.91839433679306 36.57534682993027),143.0,69,48,2468.0,220.0,75.0,144.0,108.0,176.0,176.0,108.0,633.0,132.0,1.0,89.0,367.0,6.0,6.0,367.0
-118.21432656615652,33.870944478484695,POINT (-118.21432656615652 33.870944478484695),192.0,101,43,4447.0,317.0,86.0,230.0,141.0,246.0,257.0,135.0,338.0,78.0,0.0,98.0,222.0,1.0,2.0,207.0
-115.37885247113618,33.4103522963657,POINT (-115.37885247113618 33.4103522963657),220.0,134,39,7132.0,403.0,65.0,338.0,322.0,275.0,322.0,126.0,75.0,13.0,0.0,58.0,31.0,1.0,31.0,27.0
