Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-122.33457569498867,37.48825965634479,128.0,70,46,2693.0,208.0,57.0,150.0,89.0,162.0,163.0,89.0,682.0,138.0,1.0,87.0,395.0,8.0,8.0,395.0
-119.771763459154,35.166173400179076,154.0,126,44,5396.0,311.0,25.0,286.0,92.0,224.0,232.0,84.0,194.0,37.0,0.0,84.0,110.0,1.0,2.0,96.0
-122.22180319257122,41.78732644576238,72.0,120,36,6927.0,266.0,-59.0,326.0,-3.0,175.0,177.0,-14.0,547.0,89.0,9.0,58.0,256.0,39.0,39.0,252.0
-118.35055945803701,37.83026520359636,5.0,119,34,7499.0,190.0,-148.0,339.0,-91.0,35.0,115.0,-91.0,321.0,36.0,15.0,27.0,109.0,49.0,70.0,109.0
-120.27686799283863,38.25524400632353,110.0,122,38,6426.0,288.0,-24.0,312.0,28.0,204.0,204.0,28.0,1107.0,221.0,3.0,82.0,622.0,14.0,14.0,622.0
-121.84204173484699,36.263723733118276,147.0,74,48,2614.0,230.0,76.0,153.0,112.0,182.0,182.0,111.0,850.0,182.0,1.0,91.0,499.0,5.0,5.0,499.0
-120.64540712885335,39.38171413328733,71.0,123,37,6805.0,258.0,-67.0,325.0,-16.0,170.0,170.0,-16.0,1924.0,370.0,7.0,79.0,1062.0,34.0,34.0,1062.0
-119.16307333853796,36.19766981499586,200.0,127,39,6867.0,382.0,56.0,326.0,117.0,301.0,301.0,112.0,328.0,64.0,0.0,84.0,177.0,2.0,2.0,176.0
-122.1813801998711,37.40122911009973,139.0,76,47,2873.0,227.0,64.0,162.0,98.0,177.0,177.0,98.0,550.0,120.0,1.0,90.0,340.0,5.0,5.0,340.0
-114.67082953601775,34.62979482626094,218.0,127,35,8069.0,406.0,50.0,356.0,132.0,288.0,330.0,111.0,138.0,20.0,1.0,52.0,55.0,5.0,50.0,47.0
-116.73257349862835,32.65179210756856,154.0,114,45,4668.0,292.0,40.0,250.0,111.0,209.0,223.0,95.0,436.0,85.0,2.0,86.0,247.0,10.0,17.0,226.0
-118.47376415600979,34.246816988489954,185.0,113,43,5133.0,326.0,65.0,260.0,125.0,249.0,259.0,119.0,364.0,80.0,0.0,95.0,240.0,1.0,4.0,209.0
-121.26682167734961,40.98912815527703,113.0,121,34,7681.0,317.0,-30.0,348.0,15.0,229.0,229.0,15.0,441.0,69.0,4.0,58.0,203.0,17.0,17.0,203.0
-116.68434082342111,35.2910005865637,193.0,128,35,8110.0,388.0,26.0,362.0,99.0,261.0,308.0,84.0,96.0,16.0,1.0,58.0,48.0,4.0,27.0,40.0
-117.97266559845608,37.22158255085266,109.0,116,32,8178.0,301.0,-50.0,352.0,14.0,176.0,227.0,2.0,175.0,24.0,6.0,40.0,74.0,26.0,29.0,69.0
-121.38959934668448,37.271027115119125,128.0,113,46,4309.0,263.0,18.0,245.0,68.0,182.0,186.0,67.0,399.0,79.0,1.0,88.0,225.0,4.0,5.0,225.0
-124.1082210159356,41.18205233056924,131.0,66,39,3515.0,227.0,62.0,165.0,88.0,183.0,183.0,88.0,1514.0,264.0,6.0,73.0,758.0,36.0,36.0,758.0
-121.3717773460751,41.43271346920112,94.0,120,34,7518.0,297.0,-44.0,342.0,0.0,209.0,209.0,0.0,443.0,64.0,5.0,53.0,189.0,25.0,25.0,189.0
-117.32175577329889,33.47182766955338,174.0,107,43,4750.0,308.0,62.0,246.0,120.0,231.0,245.0,114.0,273.0,61.0,1.0,93.0,172.0,4.0,7.0,164.0
-118.4019882641309,36.07448636528098,62.0,123,38,6951.0,241.0,-80.0,322.0,-26.0,155.0,164.0,-26.0,670.0,133.0,4.0,87.0,392.0,13.0,17.0,392.0
-120.75350735225202,38.08601704328779,165.0,123,40,5933.0,335.0,35.0,299.0,86.0,249.0,249.0,86.0,559.0,104.0,1.0,79.0,298.0,5.0,5.0,298.0
-117.65704729169259,36.2226029945658,132.0,118,33,8019.0,322.0,-25.0,348.0,39.0,198.0,247.0,27.0,121.0,22.0,2.0,65.0,65.0,9.0,19.0,56.0
-121.32288768911236,40.477981079087684,56.0,122,36,7103.0,250.0,-82.0,332.0,-34.0,161.0,161.0,-34.0,864.0,146.0,6.0,67.0,422.0,28.0,28.0,422.0
-117.3507505746615,36.86207008509447,180.0,116,31,8780.0,378.0,9.0,369.0,78.0,255.0,304.0,63.0,95.0,14.0,3.0,40.0,39.0,11.0,20.0,37.0
-122.08860804081124,38.38070869046187,131.0,112,43,4839.0,275.0,18.0,257.0,66.0,196.0,196.0,63.0,752.0,161.0,1.0,90.0,452.0,6.0,6.0,451.0
-123.11350027972139,38.95353765457388,139.0,90,41,4316.0,262.0,44.0,217.0,81.0,195.0,199.0,81.0,959.0,223.0,1.0,92.0,625.0,9.0,9.0,625.0
-116.88498000139957,34.62847054113932,146.0,132,38,7131.0,330.0,-7.0,338.0,53.0,202.0,248.0,52.0,240.0,39.0,2.0,60.0,112.0,9.0,40.0,112.0
-123.21848261620258,39.89848526821986,106.0,110,40,5502.0,266.0,-5.0,272.0,35.0,178.0,186.0,35.0,1323.0,262.0,2.0,87.0,771.0,15.0,20.0,771.0
-115.75225818818244,33.11523980017628,243.0,136,40,6809.0,424.0,92.0,332.0,154.0,293.0,341.0,154.0,66.0,11.0,0.0,59.0,32.0,1.0,17.0,32.0
-121.44903550510922,38.10607675333161,171.0,120,43,5200.0,326.0,50.0,276.0,99.0,241.0,241.0,99.0,396.0,80.0,1.0,85.0,226.0,3.0,3.0,226.0
-119.77734967218966,35.38495650460719,170.0,130,43,5732.0,336.0,35.0,301.0,105.0,245.0,253.0,96.0,155.0,31.0,0.0,88.0,94.0,1.0,2.0,88.0
-114.8735687530947,34.18898762962695,217.0,129,36,7742.0,403.0,54.0,349.0,326.0,283.0,326.0,114.0,117.0,19.0,1.0,52.0,47.0,4.0,47.0,36.0
-120.06903899856738,36.734528453972274,187.0,131,41,6097.0,363.0,50.0,312.0,112.0,275.0,275.0,107.0,233.0,43.0,0.0,84.0,125.0,0.0,0.0,125.0
-119.41095826191267,34.699066045538146,117.0,115,44,5006.0,261.0,1.0,260.0,59.0,184.0,190.0,53.0,451.0,102.0,1.0,97.0,289.0,3.0,3.0,279.0
-121.20859804449198,37.94949167811134,173.0,121,43,5264.0,330.0,50.0,280.0,100.0,245.0,245.0,100.0,351.0,70.0,1.0,83.0,196.0,3.0,3.0,196.0
-115.76633006744846,33.98623459381193,199.0,133,38,7289.0,385.0,42.0,342.0,111.0,257.0,303.0,103.0,79.0,12.0,1.0,53.0,34.0,3.0,29.0,34.0
-115.62437857588849,34.85796488034608,170.0,129,36,7855.0,361.0,6.0,354.0,80.0,237.0,281.0,66.0,248.0,34.0,2.0,48.0,100.0,11.0,80.0,89.0
-119.65267566944625,37.227619336510905,154.0,124,39,6576.0,334.0,16.0,317.0,77.0,251.0,251.0,71.0,760.0,161.0,1.0,89.0,448.0,4.0,4.0,440.0
-120.44548795663381,37.10248761449344,183.0,128,42,5802.0,353.0,51.0,302.0,117.0,259.0,265.0,105.0,280.0,51.0,0.0,84.0,150.0,1.0,2.0,149.0
-123.68192990878421,39.76481379380796,115.0,87,41,4334.0,240.0,26.0,213.0,60.0,171.0,178.0,60.0,1736.0,333.0,3.0,82.0,965.0,18.0,33.0,965.0
-116.66299622523671,35.95925582848068,181.0,122,33,8499.0,378.0,11.0,367.0,112.0,255.0,301.0,67.0,127.0,22.0,1.0,61.0,66.0,9.0,30.0,45.0
